	topic_hash	records
568	Evolutionary biology | Musculoskeletal medicine	2
549	Epigenetics | Medicine	2
408	Data integration and warehousing | Human genetics	2
409	Data integration and warehousing | Oncology	2
410	Data integration and warehousing | Reproductive health	2
411	Data integration and warehousing | Transcriptomics	2
544	Epigenetics | Gene regulation	2
543	Epigenetics | Gastroenterology	2
542	Epigenetics | Epigenomics	2
541	Epigenetics	2
540	Enzymes | Molecular biology	2
413	Data management | Public health and epidemiology	2
537	Environmental sciences | Psychiatry	2
536	Environmental sciences | Physics	2
567	Evolutionary biology | Immunology	2
569	Evolutionary biology | Psychiatry	2
415	Data mining | Machine learning	2
587	Gastroenterology | Metagenomics	2
600	Gene expression | Haematology	2
374	Computational biology | Public health and epidemiology	2
377	Computer science | Data acquisition	2
379	Computer science | Nutritional science	2
596	Gender medicine | Physiology	2
595	Gender medicine | Oncology	2
594	Gender medicine | Human genetics	2
246	Biomedical science | Sample collections	2
592	Gastroenterology | Surgery	2
591	Gastroenterology | Paediatrics	2
383	Critical care medicine | Immunology	2
589	Gastroenterology | Neurobiology	2
384	Critical care medicine | Infectious disease	2
586	Gastroenterology | Metabolomics	2
398	Data acquisition	2
385	Critical care medicine | Medicine	2
388	Cryogenic electron microscopy | Structural biology	2
389	DNA mutation | Genetics	2
582	Gastroenterology | Human genetics	2
581	Gastroenterology | Hepatic and biliary medicine	2
580	Gastroenterology | Gynaecology and obstetrics	2
390	DNA replication and recombination | Genetics	2
391	DNA replication and recombination | Trauma medicine	2
576	Functional genomics | Neurobiology	2
574	Functional genomics | Immunology	2
573	Functional genomics | Hepatic and biliary medicine	2
396	DNA | Genomics	2
571	Evolutionary biology | Quantitative genetics	2
535	Environmental sciences | Parasitology	2
533	Environmental sciences | Microbial ecology	2
372	Computational biology | Phylogenetics	2
447	Dermatology | Preclinical and clinical studies	2
494	Ear, nose and throat medicine | Oncology	2
493	Drug metabolism | Preclinical and clinical studies	2
491	Drug discovery | Psychiatry	2
490	Drug discovery | Pharmacology	2
438	Dermatology | Drug development	2
488	Drug discovery | Infectious disease	2
439	Dermatology | Drug discovery	2
486	Drug discovery | Endocrinology and metabolism	2
485	Drug development | Safety sciences	2
484	Drug development | Respiratory medicine	2
444	Dermatology | Nutritional science	2
446	Dermatology | Pharmacology	2
481	Drug development | Nutritional science	2
479	Drug development | Neurobiology	2
433	Dentistry | Preclinical and clinical studies	2
478	Drug development | Medicine	2
448	Dermatology | Psychiatry	2
449	Dermatology | Regenerative medicine	2
475	Drug development | Haematology	2
474	Drug development | Gastroenterology	2
452	Developmental biology | Endocrinology and metabolism	2
471	Developmental biology | Taxonomy	2
470	Developmental biology | Surgery	2
469	Developmental biology | Reproductive health	2
460	Developmental biology | Laboratory animal science	2
467	Developmental biology | RNA	2
466	Developmental biology | Plant biology	2
465	Developmental biology | Physiology	2
435	Dentistry | Toxicology	2
432	Dentistry | Personalised medicine	2
416	Data mining | Microbiology	2
425	Database management | Environmental sciences	2
417	Data mining | Neurology	2
418	Data mining | Respiratory medicine	2
529	Environmental sciences | Geriatric medicine	2
420	Data submission, annotation, and curation | Immunology	2
527	Environmental sciences | Gender medicine	2
526	Environmental sciences | Freshwater biology	2
525	Environmental sciences | Evolutionary biology	2
422	Data submission, annotation, and curation | Public health and epidemiology	2
522	Endocrinology and metabolism | Urology and nephrology	2
423	Data visualisation	2
520	Endocrinology and metabolism | Public health and epidemiology	2
518	Endocrinology and metabolism | Pharmacology	2
517	Endocrinology and metabolism | Paediatrics	2
515	Endocrinology and metabolism | Medical informatics	2
429	Dentistry | Immunology	2
513	Endocrinology and metabolism | Gastroenterology	2
512	Endocrinology and metabolism	2
427	Dentistry | Drug discovery	2
510	Embryology | Neurobiology	2
509	Embryology | Genomics	2
508	Embryology | Genetics	2
507	Embryology | Epigenetics	2
506	Electron microscopy | Virology	2
505	Electroencephalography | Psychiatry	2
504	Electroencephalography | Physiology	2
503	Electroencephalography | Neurobiology	2
428	Dentistry | Genetics	2
1	Acoustics | Ecology	2
601	Gene expression | Hepatic and biliary medicine	2
380	Computer science | Physics	2
370	Computational biology | Informatics	2
297	Cardiology | Proteins	2
276	Cardiology | Environmental sciences	2
280	Cardiology | Genomics	2
284	Cardiology | Medicines research and development	2
686	Geriatric medicine | Laboratory information management	2
285	Cardiology | Metabolomics	2
684	Geriatric medicine | Human genetics	2
682	Genomics | Urology and nephrology	2
288	Cardiology | Neurobiology	2
291	Cardiology | Paediatrics	2
292	Cardiology | Pain medicine	2
293	Cardiology | Pharmacogenomics	2
677	Genomics | Plant biology	2
676	Genomics | Parasitology	2
674	Genomics | Nutritional science	2
269	Carbon cycle | Marine biology	2
673	Genomics | Molecular genetics	2
298	Cardiology | Proteomics	2
300	Cardiology | RNA	2
670	Genomics | Microbial ecology	2
669	Genomics | Medicine	2
302	Cardiology | Toxicology	2
604	Gene expression | Microbiology	2
304	Cardiology | Trauma medicine	2
666	Genomics | Human genetics	2
665	Genomics | Hepatic and biliary medicine	2
305	Cardiology | Urology and nephrology	2
308	Cell biology | DNA	2
309	Cell biology | Data acquisition	2
272	Cardiology | Computational biology	2
268	Carbon cycle | Environmental sciences	2
312	Cell biology | Drug development	2
254	Biophysics | Physics	2
724	Human genetics | Neurobiology	2
723	Human genetics | Microbiology	2
247	Biomedical science | Surgery	2
721	Human genetics | Immunology	2
719	Hepatic and biliary medicine | Surgery	2
718	Hepatic and biliary medicine | Medicine	2
251	Biomolecular simulation | Immunology	2
716	Haematology | Workflows	2
252	Biophysics | Cardiology	2
714	Haematology | Public health and epidemiology	2
253	Biophysics | Musculoskeletal medicine	2
712	Haematology | Neurology	2
711	Haematology | Immunology	2
709	Gynaecology and obstetrics | Respiratory medicine	2
265	Biotechnology | Molecular biology	2
255	Biosciences | Reproductive health	2
258	Biotechnology | Developmental biology	2
705	Gynaecology and obstetrics | Preclinical and clinical studies	2
704	Gynaecology and obstetrics | Population genomics	2
703	Gynaecology and obstetrics | Physiology	2
259	Biotechnology | Drug development	2
260	Biotechnology | Epigenetics	2
700	Gynaecology and obstetrics | Medical biotechnology	2
699	Gynaecology and obstetrics | Haematology	2
261	Biotechnology | Gene expression	2
262	Biotechnology | Genetics	2
263	Biotechnology | Immunology	2
264	Biotechnology | Microbiology	2
661	Genetics | Structural biology	2
499	Ecology | Nutritional science	2
320	Cell biology | Haematology	2
618	Gene regulation | Oncology	2
355	Chemistry | Toxicology	2
358	Comparative genomics | Transcriptomics	2
629	Genetics | Haematology	2
628	Genetics | Gynaecology and obstetrics	2
360	Complementary medicine | Psychiatry	2
323	Cell biology | Medicine	2
361	Complementary medicine | Public health and epidemiology	2
362	Complementary medicine | Reproductive health	2
363	Complementary medicine | Respiratory medicine	2
364	Complementary medicine | Taxonomy	2
621	Genetic variation | Genomics	2
620	Genetic variation | Genetics	2
617	Gene regulation | Musculoskeletal medicine	2
635	Genetics | Microbial ecology	2
616	Gene regulation | Immunology	2
366	Computational biology | Computer science	2
367	Computational biology | Data mining	2
613	Gene expression | Toxicology	2
612	Gene expression | Reproductive health	2
611	Gene expression | Proteomics	2
610	Gene expression | Proteins	2
609	Gene expression | Physiology	2
608	Gene expression | Pharmacology	2
368	Computational biology | Developmental biology	2
606	Gene expression | Nutritional science	2
369	Computational biology | Epigenetics	2
634	Genetics | Metagenomics	2
626	Genetics | Genotype and phenotype	2
644	Genetics | Omics	2
328	Cell biology | Pathology	2
343	Cell culture collection | Gastroenterology	2
335	Cell biology | Regenerative medicine	2
648	Genetics | Pharmacogenomics	2
344	Cell culture collection | Gene expression	2
353	Chemistry | Physics	2
334	Cell biology | RNA	2
646	Genetics | Parasitology	2
331	Cell biology | Preclinical and clinical studies	2
345	Cell culture collection | Molecular biology	2
340	Cell biology | Transcription factors and regulatory sites	2
329	Cell biology | Physics	2
342	Cell biology | Trauma medicine	2
657	Genetics | Regenerative medicine	2
349	Chemistry | Medicines research and development	2
637	Genetics | Model organisms	2
352	Chemistry | Pharmacology	2
351	Chemistry | NMR	2
639	Genetics | Mouse clinic	2
348	Chemistry | Drug development	2
346	Chemical biology | Proteins	2
787	Medical informatics	1
6	Agricultural science	1
915	Pain medicine	1
985	Taxonomy	1
250	Biomolecular simulation	1
995	Tropical medicine	1
473	Drug development	1
996	Urology and nephrology	1
997	Workflows	1
401	Data architecture, analysis and design	1
780	Informatics	1
866	NMR	1
405	Data governance	1
356	Comparative genomics	1
502	Electroencephalography	1
501	Electrocardiography	1
698	Gynaecology and obstetrics	1
577	Gastroenterology	1
437	Dermatology	1
424	Database management	1
978	Safety sciences	1
216	Biomaterials	1
139	Bioengineering	1
619	Genetic variation	1
972	Regenerative medicine	1
256	Biotechnology	1
839	Molecular biology	1
927	Pharmacology	1
